pipeline,n_cells,n_gpus,n_repeats,total_time_mean_s,total_time_std_s,peak_ram_gb,peak_vram_gb
cpu_scanpy,10000,0,5,39.5,10.2,1.2,0.0
gpu_rapids,10000,1,5,3.3,1.7,2.4,40.7
gpu_rapids_2gpu,10000,2,5,4.9,2.6,2.3,52.4
gpu_rapids_4gpu,10000,4,5,4.9,2.6,2.3,65.0
gpu_rapids_8gpu,10000,8,5,4.9,2.3,2.3,106.5
cpu_scanpy,50000,0,5,282.5,9.1,3.6,0.0
gpu_rapids,50000,1,5,8.4,2.2,5.4,40.7
gpu_rapids_2gpu,50000,2,5,14.7,2.4,3.5,52.4
gpu_rapids_4gpu,50000,4,5,14.6,2.6,3.5,65.0
gpu_rapids_8gpu,50000,8,5,15.1,2.2,3.4,106.5
cpu_scanpy,100000,0,5,646.7,10.5,6.7,0.0
gpu_rapids,100000,1,5,14.8,2.2,8.8,40.7
gpu_rapids_2gpu,100000,2,5,26.9,2.4,4.9,52.4
gpu_rapids_4gpu,100000,4,5,26.9,2.3,4.9,65.1
gpu_rapids_8gpu,100000,8,5,26.4,2.6,4.9,106.6
cpu_scanpy,500000,0,5,4346.7,40.3,29.7,0.0
gpu_rapids_2gpu,500000,2,5,124.5,2.9,15.6,52.7
gpu_rapids_4gpu,500000,4,5,125.0,6.0,15.9,65.5
gpu_rapids_8gpu,500000,8,5,124.6,3.7,15.5,107.0
cpu_scanpy,1300000,0,5,52056.2,392.0,107.4,0.0
gpu_rapids_2gpu,1300000,2,5,493.3,10.3,60.7,74.9
gpu_rapids_4gpu,1300000,4,5,486.6,20.2,60.7,92.7
gpu_rapids_8gpu,1300000,8,5,435.2,16.2,52.3,134.2
